ZAP1592832_00	Come all'amiche arene l'onda rincalza l'onda, così sanar conviene amore con amor	Gioia	Abbastanza sicura
ZAP1592832_01	    Piaga d'acuto acciaro sana l'acciaro istesso ed un veleno è spesso riparo all'altro ancor	Ammirazione	forti dubbi
ZAP1593419_00	Dille che in me paventi un disperato amor; dille che si rammenti quanto mi disprezzò	Rabbia	Abbastanza sicura
ZAP1593419_01	    E se per queste offese mi chiama traditor, dille che tal mi rese, quando m'innamorò	Rabbia	Abbastanza sicura
ZAP1593265_00	L'onda dal mar divisa bagna la valle, il monte, va passaggiera in fiume; va prigioniera in fonte	Ammirazione	Abbastanza sicura
ZAP1593265_01	Mormora sempre e geme fin che non torna al mar	Ammirazione	Abbastanza sicura
ZAP1593265_02	    Al mar dov'ella nacque, dove acquistò gli umori, dove dai lunghi errori spera di riposar	Ammirazione	Abbastanza sicura
ZAP1598324_00	Leon, che errando vada per la natia contrada, se un agnellin rimira non si commove all'ira nel generoso cor	Ammirazione	Totalmente sicura
ZAP1598324_01	     Ma se venir si vede orrida tigre in faccia, l'assale e la minaccia, perché sol quella crede degna del suo furor	Ammirazione	Totalmente sicura
ZAP1593896_00	Sì varia in ciel talora, dopo l'estiva pioggia, l'iride si colora, quando ritorna il sol	Gioia	Totalmente sicura
ZAP1593896_01	    Non cambia in altra foggia colomba al sol le piume, se va cambiando lume mentre rivolge il vol	Gioia	Abbastanza sicura
ZAP1596962_00	Un gran fasto non dà fregio a nobiltà; ma si adula con viltà da interesse o da timor	Rabbia	Totalmente sicura
ZAP1596962_01	    Più si apprezza ne l'ignobile il valor che nel grande un'alterezza senza merto e senza onor	Rabbia	Totalmente sicura
ZAP1597544_00	Saggia sei. Se me non ami	Tristezza	Abbastanza sicura
ZAP1597544_01	nel mio affetto e nel mio dono, il tuo ben dovresti amar	Amore	Totalmente sicura
ZAP1593686_00	Lo seguitai felice quand'era il ciel sereno; alle tempeste in seno voglio seguirlo ancor	Amore	Totalmente sicura
ZAP1593686_01	    Come dell'oro il fuoco scuopre le masse impure, scuoprono le sventure de' falsi amici il cuor	Amore	Abbastanza sicura
ZAP1596619_00	Non ho il core all'arti avvezzo; non v'è ben per me sincero, se comprar si deve a prezzo d'innocenza e di candor	Rabbia	Abbastanza sicura
ZAP1596619_01	    Qual acquisto è che ristori dall'angustie, da' timori, dal disprezzo di sé stesso, dall'accuse d'un rossor	Rabbia	Abbastanza sicura
ZAP1596384_00	Speranze più liete, lontane da me	Rabbia	Abbastanza sicura
ZAP1596384_01	    In alma costante offender potete la gloria di amante, di amico la fé	Rabbia	Abbastanza sicura
ZAP1594244_00	Non tremar vassallo indegno, è già tardo il tuo timore; quando ordisti il reo disegno era il tempo di tremar	Rabbia	Totalmente sicura
ZAP1594244_01	    Ma giustissimo consiglio è del ciel che un traditore mai non vegga il suo periglio che vicino a naufragar	Rabbia	Totalmente sicura
ZAP1593841_00	S'altro che lagrime per lui non tenti, tutto il tuo piangere non gioverà	Rabbia	Totalmente sicura
ZAP1593841_01	    A questa inutile pietà che senti oh quanto è simile la crudeltà	Rabbia	Totalmente sicura
ZAP1597759_00	Son quel fiume che gonfio d'umori, quando il gielo si scioglie in torrenti, selve, armenti, capanne e pastori porta seco e ritegno non ha	Rabbia	Abbastanza sicura
ZAP1597759_01	     Se si vede fra gli argini stretto sdegna il letto, confonde le sponde e superbo fremendo sen va	Rabbia	Abbastanza sicura
ZAP1593080_00	Se il ciel mi divide dal caro mio sposo, perché non m'uccide pietoso il martir	Tristezza	Totalmente sicura
ZAP1593080_01	    Divisa un momento dal dolce tesoro, non vivo, non moro; ma provo il tormento d'un viver penoso, d'un lungo morir	Tristezza	Totalmente sicura
ZAP1594249_00	Aspri rimorsi atroci figli del fallo mio, perché sì tardi, oh dio, mi lacerate il cor?	Tristezza	Totalmente sicura
ZAP1594249_01	    Perché funeste voci, ch'or mi sgridate appresso, perché v'ascolto adesso né v'ascoltai finor?.	Tristezza	Totalmente sicura
ZAP1593055_00	D'un barbaro scortese non rammentar l'offese è un pregio che innamora più che la tua beltà	Ammirazione	Abbastanza sicura
ZAP1593055_01	    Da lei crudel da lei, che ingiustamente offendi,  quella pietade apprendi che l'alma tua non ha	Ammirazione	Abbastanza sicura
ZAP1598248_00	Dovrei... Ma no..	Paura	Abbastanza sicura
ZAP1598248_01	L'amor... oh dio, la fé..	Amore	Abbastanza sicura
ZAP1598248_02	Ah che parlar non so	Tristezza	Forti dubbi
ZAP1598248_03	Spiegalo tu per me	Amore	Forti dubbi
ZAP1596529_00	Quando il mar biancheggia e freme, quando il ciel lampeggia e tuona, il nocchier che s'abbandona va sicuro a naufragar	Paura	Forti dubbi
ZAP1596529_01	    Tutte l'onde son funeste a chi manca ardire e speme; e si vincon le tempeste col saperle tolerar	Paura	Forti dubbi
ZAP1597526_00	Vinto nemico altero, tuo vincitor, tuo re, uso pietà con te	Rabbia	Totalmente sicura
ZAP1593169_00	Sogna il guerrier le schiere, le selve il cacciator e sogna il pescator le reti e l'amo	Ammirazione	Forti dubbi
ZAP1593169_01	    Sopito in dolce oblio sogno pur io così colei che tutto il dì sospiro e chiamo	Amore	Totalmente sicura
ZAP1596686_00	La mia virtù sicura parla d'entrambi al cor; dal figlio il genitor no, non divide	Tristezza	Forti dubbi
ZAP1596686_01	    Saria d'ogni sventura fra lor comune il duolo; e chi ne salva un solo entrambi uccide	Tristezza	Abbastanza sicura
ZAP1596162_00	Taci; non è romano  chi una viltà consiglia	Rabbia	Totalmente sicura
ZAP1596162_01	Taci; non è mia figlia  chi più virtù non ha	Rabbia	Totalmente sicura
ZAP1596162_02	    Or sì de' lacci il peso per vostra colpa io sento; or sì la mia rammento perduta libertà	Tristezza	abbastanza sicura
ZAP1598330_00	Ardi per me fedele, serba nel cor lo strale ma non mi dir crudele, se non avrai mercé	Rabbia	Forti dubbi
ZAP1598330_01	   Hanno sventura eguale la tua, la mia costanza	Tristezza	Forti dubbi
ZAP1598330_02	Per te non v'è speranza, non v'è pietà per me	Tristezza	Forti dubbi
ZAP1598312_00	Se resto sul lido, se sciolgo le vele infido, crudele mi sento chiamar	Tristezza	Totalmente sicura
ZAP1598312_01	     E intanto confuso nel dubbio funesto, non parto, non resto ma provo il martire che avrei nel partire, che avrei nel restar	Tristezza	Totalmente sicura
ZAP1597532_00	Irresoluto ancor?. - o ardisci, o taci	Rabbia	Totalmente sicura
ZAP1597532_01	E tu in quel dubbio cor fa che cirtù e dover o sieno più fedeli, o sien più audaci	Rabbia	Totalmente sicura
ZAP1598254_00	Dirò che fida sei, su la mia fé riposa	Amore	Abbastanza sicura
ZAP1598254_01	Sarò per te pietosa, (per me crudel sarò)	Tristezza	Abbastanza sicura
ZAP1598254_02	     Sapranno i labri miei  scoprirgli il tuo desio	Amore	Abbastanza sicura
ZAP1598254_03	(Ma la mia pena, oh dio,  come nasconderò?.)	Tristezza	Totalmente sicura
ZAP1597569_00	Vago sei quanto Narciso: ma il diadema al tuo bel viso più vaghezza aggiungerà! 	Ammirazione	Abbastanza sicura
ZAP1598220_00	Se ti lagni sventurato del tuo fato del mio core non lagnarti ma d'amore	Tristezza	Totalmente sicura
